Description,Code,SKU,UOM,Resource Type,Expense Item (by Default)
4MM CNC ROUTER BIT CMT - 191.040.11,00-50003253,,Nos.,Inventory Item,Cost of Materials
4MM CNC ROUTER BIT CMT - 191.040.11,00-50003254,,Nos.,Inventory Item,Cost of Materials
6MM CNC ROUTER BIT CMT - 191.060.11,00-50003255,,Nos.,Inventory Item,Cost of Materials
6MM CNC ROUTER BIT CMT - 199.060.11,00-50003257,,Nos.,Inventory Item,Cost of Materials
8MM BORING BIT CMT - 311.080.11,00-50003573,,Nos.,Inventory Item,Cost of Materials
8MM BORING BIT CMT - 311.080.12,00-50003574,,Nos.,Inventory Item,Cost of Materials
ACETATE SILICON CLEAR-089231885,00-50002677,,PCS,Inventory Item,
ADHESIVE - ARALDITE,00-50000260,,Pkt.,Inventory Item,Cost of Materials
AIR GUN ,00-50002730,,Nos.,Inventory Item,
AMC FOR CCTV,00-50003153,,LOT,Service,
ANCHOR BOLT 10MM,00-50003051,,Nos.,Inventory Item,Cost of Materials
BATTERY - AAA,00-50002684,,Nos.,Inventory Item,Cost of Materials
BATTERY - PENCIL TYPE,00-50002631,,Nos.,Inventory Item,Cost of Materials
BISON KIT,00-50002780,,Box,Inventory Item,Cost of Materials
"BRACKET 1""",00-50002766,,Nos.,Inventory Item,
BUCKLE FOR PVC BINDING STRIP,00-50002988,,Box,Inventory Item,Cost of Materials
CABINET DOOR BUMPER - SELF ADHESIVE - COLOR BLACK,00-50003866,,SHEET,Inventory Item,Cost of Materials
CABLE GROMMET - PLASTIC - 60MM DIA ,00-50003623,,PCS,Inventory Item,Cost of Materials
CABLE MANAGER ,00-50003356,,PCS,Inventory Item,Cost of Materials
CABLE MANAGER BROWN - 60MM,00-50003550,,PCS,Inventory Item,Cost of Materials
CABLE MANAGER WHITE - 60MM,00-50003150,,PCS,Inventory Item,Cost of Materials
CARTON BOX,00-50002781,,PCS,Inventory Item,Cost of Materials
"CASTER WHEEL 6"" HEAVY DUTY",00-50002755,,Nos.,Inventory Item,
CLEANING AGENT - LC 2/30,00-50002953,,LTR,Inventory Item,Cost of Materials
CMT ROUTER BIT 25MM 911.250.11,00-50003704,,Nos.,Inventory Item,
CMT ROUTER BIT 838.445.11,00-50003701,,Nos.,Inventory Item,
CONCEALED HINGES,00-50003579,,No.,Inventory Item,Cost of Materials
"CONCRETE NAIL 2""",00-50003337,,CTN,Inventory Item,Cost of Materials
COPPER PIPE 1/2 - 15 MTR,00-50002796,,Roll,Inventory Item,Cost of Materials
COPPER PIPE 1/4 - 15 MTR,00-50002795,,Roll,Inventory Item,Cost of Materials
CYLINDER CUTOUT BIT - HWØ10 2X100Z2RR,00-50004011,,Nos.,Inventory Item,Cost of Materials
DIAMOND BLADE 530X35X3 TCT,00-50002745,,Nos.,Inventory Item,
DOUBLE SIDE TAPE 10MM,00-50002623,,Nos.,Inventory Item,Cost of Materials
"DOUBLE SIDE TAPE 2""X50MX25M - CT5025",00-50003851,,Box,Inventory Item,Cost of Materials
DRYWALL SCREW 8X1 1/2 CLASSIC 1000/PKT,00-50003469,,Pkt,Inventory Item,
DRYWALL SCREW 8X1 1/4 CLASSIC 1000/PKT,00-50003138,,Pkt,Inventory Item,
DRYWALL SCREW 8X2 1/2 CLASSIC,00-50002714,,Pkt,Inventory Item,
DRYWALL SCREW 8X3 CLASSIC 500PCS/ PKT,00-50003468,,Pkt.,Inventory Item,Cost of Materials
DRYWALL SCREW 8X4 CLASSIC 500PCS/ PKT,00-50003969,,Pkt.,Inventory Item,Cost of Materials
ENGINE OIL 20W-50,00-50003103,,LTR,Inventory Item,Cost of Materials
FEVICOL SH- 50KG,00-50002651,,Drum,Inventory Item,
FIHSER PLUG 8MM-BLUE,00-50003142,,Pkt.,Inventory Item,Cost of Materials
FIRE EXTINGUISHER FOAM 25KG,00-50003112,,Nos.,Inventory Item,
FIRE RETARDANT SHEET 01MMX2000X100,00-50003449,,SHEET,Inventory Item,Cost of Materials
FIRE STRIP 20X4 BROWN,00-50003156,,Nos.,Inventory Item,
FIRE STRIP 20X4 WHITE,00-50003619,,Nos.,Inventory Item,Cost of Materials
FIRE STRIP 20X4MM BROWN,00-50003447,,Nos,Inventory Item,Cost of Materials
FISCHER PLUG BLUE 8MMX50MM,00-50003021,,Pkt.,Inventory Item,Cost of Materials
FISCHER PLUG RED 6MMX50MM,00-50003020,,Pkt.,Inventory Item,Cost of Materials
FOAM INSULATION TAPE,00-50003448,,Mtr,Inventory Item,Cost of Materials
FR B1 PU FOAM-0893303402,00-50002678,,PCS,Inventory Item,
GARBAGE BIN 120LTR,00-50002968,,Nos.,Inventory Item,
GEAR OIL 90,00-50003102,,LTR,Inventory Item,Cost of Materials
GLASS CLEANER,00-50003332,,No.,Inventory Item,Cost of Materials
GLASS SILICONE - CLEAR,00-50003379,,Box,Inventory Item,Cost of Materials
HAND WASH LIQUID,00-50002687,,Gallon,Inventory Item,Cost of Materials
HANDLE BOLT 80MM,00-50003554,,Nos.,Inventory Item,Cost of Materials
HANDLE HOLE CUTOUT BIT - HWØ20 20X90R,00-50004012,,Nos.,Inventory Item,Cost of Materials
HANGING ROD 25MMX3000MM,00-50003818,,No.,Inventory Item,Cost of Materials
HINGES CUTOUT BIT CMT - 179.220.11,00-50004008,,Nos.,Inventory Item,Cost of Materials
HOSE CLIP - B/S M00 - 16MM,00-50003476,,Pkt,Inventory Item,Cost of Materials
HYDRAULIC OIL AW68,00-50002626,,Drum,Inventory Item,Cost of Materials
HYDRAULIC OIL NO-46,00-50002955,,LTR,Inventory Item,Cost of Materials
JOWACOLL LAMINATED GLUE 25KG (JOWAT 103.30),00-50002691,,bag,Inventory Item,
KLUBER LUBRICATION - ARTICLE NO: GA 004227 - ISOFLEX TOPAS L 32 N ,00-50002884,,Kg,Inventory Item,Cost of Materials
KLUBER LUBRICATION - ARTICLE NO: GA 096019 - PARALIQ GA-3400,00-50002883,,Kg,Inventory Item,Cost of Materials
KNIFE BLADE- LAMINATE CUTTER - OLFA,00-50002921,,No.,Inventory Item,Cost of Materials
KNIFE BLADE-LB10 OLFA,00-50002722,,Pkt,Inventory Item,
LED CONNECTOR,00-50003615,,Nos.,Inventory Item,
LED DRIVER,00-50003129,,Nos.,Inventory Item,
LEITZ CIRCULAR SAW BLADE HW:400X3.5X30 Z90-163130,00-50002670,,Nos.,Inventory Item,
LEITZ CIRCULAR SAW BLADE L117MGA3 - F03F502574-000 - 120.00X3.20X20.00Z30,00-50002890,,Nos.,Inventory Item,Cost of Materials
LOCK CUTOUT BIT 23-7791 RH - 16X50 - 120X16 X3/R POS,00-50004009,,Nos.,Inventory Item,Cost of Materials
LOCK PLATE CUTOUT BIT 22-0911 - HW22X20X8 ,00-50004010,,Nos.,Inventory Item,Cost of Materials
MACHINE SCREW,00-50003505,,Nos.,Inventory Item,Cost of Materials
MAGNETIC DOOR CATCHER,00-50003562,,Nos.,Inventory Item,Cost of Materials
MAGNETIC LIGHT,00-50003128,,Nos.,Inventory Item,
MAGNETIC TRIM TRACK,00-50003127,,Nos.,Inventory Item,
MAKITA ROUTER BIT 6MM D-12245,00-50002718,,Nos.,Inventory Item,
"MASKING TAPE 1""X50YARD-ASMACO",00-50003019,,Box,Inventory Item,Cost of Materials
"MASKING TAPE 1""X50YARDS AUTOMOTIVE",00-50003027,,Box,Inventory Item,Cost of Materials
"MASKING TAPE 2""X100 YARD",00-50003139,,Box,Inventory Item,
METAL BINDING STRIP,00-50002688,,Roll,Inventory Item,Cost of Materials
METAL STRIP CLIP,00-50002713,,Pkt,Inventory Item,
MULTIPURPOSE GREASE - EPO,00-50003355,,LTR,Inventory Item,Cost of Materials
NAIL F15,00-50003336,,Pkt,Inventory Item,
NAIL F20,00-50003335,,Pkt,Inventory Item,
NAIL F25,00-50002868,,Pkt,Inventory Item,
NAIL F30,00-50002723,,Pkt,Inventory Item,
NAIL PIN ST-64 (1700264),00-50003104,,Pkt,Inventory Item,Cost of Materials
NUT WITH VISOR 08MM,00-50003641,,No.,Inventory Item,Cost of Materials
NUT WITH VISOR 10MM,00-50003043,,No.,Inventory Item,Cost of Materials
NYLON BUTTERFLY FISCHER M-10 X 1756,00-50003022,,Box,Inventory Item,Cost of Materials
NYLON CORD WHITE - 3MM,00-50003869,,Roll,Inventory Item,Cost of Materials
OIL FILTER,00-50003964,,No.,Inventory Item,Cost of Materials
"PAINT BRUSH 1""",00-50002760,,Nos.,Inventory Item,
PAINT FILTER - PAPER,00-50003403,,No.,Inventory Item,Cost of Materials
"PAINT ROLLER REFILL 4"" WITH HANDLE - UKEN",00-50003333,,Nos,Inventory Item,Cost of Materials
"PAINT ROLLER REFILL 4""-UKEN",00-50003967,,Nos,Inventory Item,Cost of Materials
"PAINT ROLLER REFILL 9"" WITH HANDLE - UKEN",00-50003319,,Nos,Inventory Item,Cost of Materials
"PAINT ROLLER REFILL 9""-UKEN",00-00000077,,Nos,Inventory Item,Cost of Materials
PLANNER MACHINE BALL BEARING 6206 DU,00-50003108,,No.,Inventory Item,Cost of Materials
PLANNER MACHINE BALL BEARING 6208 DU,00-50003107,,No.,Inventory Item,Cost of Materials
PLASTIC SCREW,00-50003157,,PCS,Inventory Item,Cost of Materials
POLYCARBONATE SHEET 2.1X5.8X100MM,00-50003559,,SHEET,Inventory Item,
POLYTHENE SHEET - 500G,00-00000193,,Roll,Inventory Item,
POLYTHENE SHEET 1000g,00-50002858,,Roll,Inventory Item,Cost of Materials
PPR END CAP 32MM,00-50002754,,Nos.,Inventory Item,
PRINTER 3 in 1,00-50002747,,Nos.,Inventory Item,
PU FOAM - ASMACO,00-50003206,,Box,Inventory Item,Cost of Materials
PU FOAM B3-0892149751,00-50002679,,PCS,Inventory Item,
PU FOAM GOLD - ASMACO,00-50003024,,Box,Inventory Item,Cost of Materials
"PVC ELBOW 3""",00-50002929,,Nos.,Inventory Item,
"PVC ELBOW 4""",00-50002753,,Nos.,Inventory Item,
PVC LIPPING 22MM X 1MM EGGER H1251 ST-19,00-50003406,,LM,Inventory Item,Cost of Materials
PVC LIPPING 22MM X 1MM EGGER H3700 ST-10,00-50003572,,LM,Inventory Item,Cost of Materials
PVC LIPPING 22MM X 1MM SDE-30321 MT - SKYDECOR,00-50003271,,LM,Inventory Item,Cost of Materials
PVC LIPPING 22MM X 1MM SDL-30318 BRK - SKYDECOR,00-50003222,,LM,Inventory Item,Cost of Materials
PVC LIPPING 22MM X 1MM SDL-30323 ZN - SKYDECOR,00-50003220,,LM,Inventory Item,Cost of Materials
PVC LIPPING 22MM X 2MM SDL-10202 - SKYDECOR,00-50003123,,LM,Inventory Item,Cost of Materials
PVC LIPPING 23MM X 0.8MM EGGER H1715 ST-12,00-50003699,,LM,Inventory Item,Cost of Materials
PVC PACKING STRIP,00-50002717,,Roll,Inventory Item,
"PVC PIPE 3""",00-50002928,,Nos.,Inventory Item,
"PVC PIPE 4""X6MTR",00-50002752,,Nos.,Inventory Item,
R-22 GAS CYLINDER FOR AC,00-50002771,,Kg,Inventory Item,Cost of Materials
READYMADE CONCRETE BAG - 50 KG,00-50002936,,bag,Inventory Item,Cost of Materials
REFLECTIVE TAPE WATERPROOF,00-50003094,,No.,Inventory Item,Cost of Materials
"ROUND PIPE 1"" BLACK",00-50002767,,Nos.,Inventory Item,
ROUTER BIT CMT - 711.130.11B,00-50003237,,Nos.,Inventory Item,Cost of Materials
ROUTER BIT MAKITA - PND 10506,00-50003477,,Nos.,Inventory Item,Cost of Materials
ROUTER BIT MAKITA - PNP 13487,00-50003236,,Nos.,Inventory Item,Cost of Materials
ROUTER BIT UKEN- U24478,00-50002719,,Nos.,Inventory Item,
ROUTER BIT UKEN- U24534,00-50002721,,Nos.,Inventory Item,
ROUTER BIT UKEN- U27484,00-50003852,,Nos.,Inventory Item,
ROUTER BIT UKEN-U24272,00-50003977,,Nos.,Inventory Item,Cost of Materials
ROUTER BIT UKEN-U24328,00-50003976,,Nos.,Inventory Item,Cost of Materials
ROUTER BIT UKEN-U24372,00-50003975,,Nos.,Inventory Item,Cost of Materials
ROUTER BIT UKEN-U24384,00-50003974,,Nos.,Inventory Item,Cost of Materials
ROUTER BIT UKEN-U24620,00-50002720,,Nos.,Inventory Item,
ROUTER BIT UKEN-U26930,00-50003289,,Nos.,Inventory Item,
ROUTER BIT UKEN-U27354,00-50003474,,Nos.,Inventory Item,Cost of Materials
SAFA GLUCOSE - ELECTROLYTE POWDER - 450GM,00-50003137,,No.,Inventory Item,Cost of Materials
SAFETY VEST,00-50002925,,Nos.,Inventory Item,
"SAMSUNG 43"" UHD 4K SMART LED TV",00-50002708,,Nos.,Inventory Item,
SANDING BELT CLOTH 1380X2620MM - GRIT 60,00-50002627,,Roll,Inventory Item,Cost of Materials
SANDING BELT PAPER 1380X2620MM - GRIT 60,00-50002624,,Roll,Inventory Item,Cost of Materials
SANDING BELT PAPER 1380X2620MM - GRIT 80,00-50002625,,Roll,Inventory Item,Cost of Materials
"SANDING CLOTH GRIT ROLL 60X4.5"" APPLE",00-50003899,,Roll,Inventory Item,
"SANDING CLOTH GRIT ROLL 80X4.5"" APPLE",00-50003898,,Roll,Inventory Item,
"SANDING CLOTH GRIT ROLL100X4.5"" APPLE",00-50002711,,Roll,Inventory Item,
"SANDING CLOTH GRIT ROLL180X4.5"" APPLE",00-50002710,,Roll,Inventory Item,
SANDING CLOTH GRITT ROLL 120 4.5'',00-50002661,,Roll,Inventory Item,Cost of Materials
SANDING CLOTH GRITT ROLL 220 4.5'',00-50002629,,Roll,Inventory Item,Cost of Materials
SANDING CLOTH GRITT ROLL 320 4.5'',00-50002692,,Roll,Inventory Item,Cost of Materials
SANDING FOAM NO K-120,00-50003105,,PCS,Inventory Item,Cost of Materials
SANDING FOAM NO K-220,00-50002659,,PCS,Inventory Item,Cost of Materials
SANDING FOAM NO K-240,00-50003404,,PCS,Inventory Item,Cost of Materials
SANDING FOAM NO K-320,00-50002660,,PCS,Inventory Item,Cost of Materials
SANDING PAPER NO 100,00-50003334,,Pkt.,Inventory Item,
SANDING PAPER NO 120,00-50003840,,Pkt.,Inventory Item,
SANDING PAPER NO 220,00-50002706,,Pkt.,Inventory Item,
SANDING PAPER NO 240,00-50004044,,Pkt.,Inventory Item,
SANDING PAPER NO 600,00-50003617,,Pkt.,Inventory Item,
Sanding Paper P80 - BOLMONT,00-00000168,,Pkt.,Inventory Item,
SAW BLADE 200X4.4X65 FREUD-ITALY,00-50002878,,Nos.,Inventory Item,
SAW BLADE 355X4.4X65 FREUD ITALY,00-50002877,,Nos.,Inventory Item,
"SCREW BLACK 1""",00-50003141,,Pkt.,Inventory Item,Cost of Materials
"SCREW BLACK 1.1/4""",00-50002863,,Pkt.,Inventory Item,Cost of Materials
"SCREW BLACK 2""",00-50002862,,Pkt.,Inventory Item,Cost of Materials
"SCREW BLACK 3""",00-50002861,,Pkt.,Inventory Item,Cost of Materials
"SCREW BLACK 4""",00-50002860,,Pkt.,Inventory Item,Cost of Materials
SCREW HOLE COVER - STICKER TYPE - COLOR WHITE,00-50003865,,SHEET,Inventory Item,Cost of Materials
SEPARATING AGENT - LC 2/10,00-50002954,,LTR,Inventory Item,Cost of Materials
SILICONE CLEAR 2500 - ASMACO,00-50002704,,CTN,Inventory Item,Cost of Materials
SILICONE TRANSPARENT - WATERPROOF,00-50003908,,No.,Inventory Item,Cost of Materials
SILICONE WHITE,00-50003625,,CTN,Inventory Item,Cost of Materials
SILICONE WHITE - WATERPROOF,00-50003909,,No.,Inventory Item,Cost of Materials
SOLDERING PASTE,00-50002986,,No.,Inventory Item,Cost of Materials
SOLDERING WIRE,00-50002987,,No.,Inventory Item,Cost of Materials
SOUDAL WHITE GREASE,00-50003800,,Nos.,Inventory Item,Cost of Materials
SS ANCHOR BOLT M6,00-50002636,,Nos.,Inventory Item,Cost of Materials
SS SCREW 6X1,00-50002952,,Pkt,Inventory Item,Cost of Materials
SS SCREW 8X1,00-50002951,,Pkt,Inventory Item,Cost of Materials
STAILESS STEEL EYE BOLT M6,00-50002635,,Nos.,Inventory Item,Cost of Materials
STAINLESS STEEL WIRE ROPE 2MM,00-50002634,,Mtr,Inventory Item,Cost of Materials
STAR BIT PH2 U1577,00-50003160,,Pkt,Inventory Item,
STEEL BUCKLE,00-50002739,,Box,Inventory Item,
SUPER GLUE,00-50002923,,Pkt,Inventory Item,Cost of Materials
SUPPLY OF NOS,00-50003086,,Nos.,Inventory Item,
SURGICAL FACE MASK - 3PLY,00-50002641,,Pkt.,Inventory Item,Cost of Materials
TAPE DISPENSER METAL BODY,00-50002744,,Nos.,Inventory Item,
THERMOCOL SHEET 100MM,00-50003544,,SHEET,Inventory Item,Cost of Materials
THERMOCOL SHEET 50MM,00-50002601,,SHEET,Inventory Item,
THREAD BAR 08MM,00-50003640,,No.,Inventory Item,Cost of Materials
THREAD BAR 10MM,00-50003042,,No.,Inventory Item,Cost of Materials
TROLLEY CART HEAVY DUTY,00-50002733,,Nos.,Inventory Item,
TROLLEY WHEEL - HEAVY DUTY,00-50003833,,Nos.,Inventory Item,Cost of Materials
"TROLLEY WHEEL 6"" SWIVEL",00-50002764,,Nos.,Inventory Item,
VELCRO SANDING DISC GRIT NO 120 - 125MM,00-50004031,,Pkt,Inventory Item,Cost of Materials
VELCRO SANDING DISC GRIT NO 120 - 150MM,00-50002944,,Pkt,Inventory Item,Cost of Materials
VELCRO SANDING DISC GRIT NO 60 - 125MM,00-50002941,,Pkt,Inventory Item,Cost of Materials
VELCRO SANDING DISC GRIT NO 60 - 150MM,00-50002945,,Pkt,Inventory Item,Cost of Materials
VELCRO SANDING DISC GRIT NO 80 - 125MM,00-50002943,,Pkt,Inventory Item,Cost of Materials
VELCRO SANDING DISC GRIT NO 80 - 150MM,00-50002946,,Pkt,Inventory Item,Cost of Materials
VELCRO SANDING DISC P120X125,00-50002942,,Pkt,Inventory Item,Cost of Materials
WHITE CEMENT,00-50002598,,Kg,Inventory Item,
ZERO NAIL PIN 6X20,00-50004030,,Pkt,Inventory Item,
ZERO NAIL PIN 6X25,00-50002724,,Pkt,Inventory Item,
Electric,00-50001263,,,,
1.5MM 1C WIRE-BLACK,00-50003768,,Roll,Inventory Item,
1.5MM 1C WIRE-YELLOW/GREEN,00-50003769,,Roll,Inventory Item,
10MM WIRE CLIP - WHITE,00-50002416,,Pkt.,Inventory Item,Cost of Materials
12MM WIRE CLIP - WHITE,00-50003436,,Pkt.,Inventory Item,Cost of Materials
2.5MM 1C WIRE-BLACK,00-50003771,,Roll,Inventory Item,
2.5MM 1C WIRE-RED,00-50003770,,Roll,Inventory Item,
2.5MM 1C WIRE-YELLOW/GREEN,00-50003772,,Roll,Inventory Item,
3 PIN PLUG 13 AMP,00-50002417,,Nos,Inventory Item,Cost of Materials
INDUSTRIAL PLUG - MALE / FEMALE,00-50003939,,Nos,Inventory Item,Cost of Materials
Electric,00-00000082,,,,
1 GANG 1 WAY SWITCH,00-50002909,,Nos,Inventory Item,Cost of Materials
1 GANG 1 WAY SWITCH BLACK NICKEL 3X3,00-50002616,,Nos.,Inventory Item,
1.5MM 1C WIRE-RED,00-50003767,,Roll,Inventory Item,
16MM X 5C FLEXIBLE CABLE WHITE - DG-ITALICA,00-50003945,,Mtr,Inventory Item,Cost of Materials
2 GANG 1 WAY SWITCH,00-50002596,,Nos,Inventory Item,
2 GANG 2 WAY SWITCH BLACK NICKEL 3X3,00-50002617,,Nos.,Inventory Item,
220V STRIPLIGHT CONNECTOR,00-50002633,,Nos.,Inventory Item,Cost of Materials
3 GANG 1 WAY SWITCH BLACK NICKEL 3X6,00-50002618,,Nos.,Inventory Item,
3C x 1.5MM RR CABLE - BLACK,00-50003202,,Roll,Inventory Item,Cost of Materials
4 GANG SWITCH 1 WAY,00-50002642,,PCS,Inventory Item,Cost of Materials
6 WAY BREAKER COVER,00-50003937,,PCS,Inventory Item,Cost of Materials
AC OUTER BRACKET,00-50002798,,No.,Inventory Item,Cost of Materials
BRASS NUT 1/2,00-50002800,,No.,Inventory Item,Cost of Materials
BRASS NUT 1/4,00-50002799,,No.,Inventory Item,Cost of Materials
CEILING LIGHT 10 CM - 3000K WARM WHITE 220W,00-50002784,,Nos.,Inventory Item,Cost of Materials
CEILING LIGHT 17 CM - WHITE,00-50002643,,Nos.,Inventory Item,Cost of Materials
DIGITAL AC TIMER CONTROLLER SWITCH,00-50004053,,No.,Inventory Item,
DP SWITCH,00-50002619,,Nos.,Inventory Item,
"ELECTRIC SOCKETS POPUP BOX FOR TABLE - 2 POWER SOCKET, 2 HDMI PORT & 2 USB PORT",00-50002666,,Nos.,Inventory Item,Cost of Materials
EMERGENCY STOP PUSH BUTTON SWITCH,00-50003049,,Set,Inventory Item,Cost of Materials
G.I BOX 3X3,00-50002835,,No.,Inventory Item,Cost of Materials
G.I BOX 3X6,00-50002836,,No.,Inventory Item,Cost of Materials
G.I TRUNKING 50X50,00-50002935,,Mtr,Inventory Item,Cost of Materials
HDMI CABLE 4K 10M,00-50002709,,Nos.,Inventory Item,
LED COB STRIPLIGHT - IP20 - 3000K - CODE: LX-LLV-COB-480P-SN (BRAND: LUMELUX) CRI>90 - 5 MTR,00-50003205,,Roll,Inventory Item,Cost of Materials
LED LIGHT DIMMER,00-50003053,,No.,Inventory Item,Cost of Materials
LED LIGHT TRANSFORMER 12V,00-50002762,,Nos.,Inventory Item,Cost of Materials
LED LIGHT TRANSFORMER 24V,00-50002916,,Nos.,Inventory Item,Cost of Materials
LED LIGHT TRANSFORMER ELG-75-12DA - DIMMER TYPE,00-50003344,,Nos.,Inventory Item,Cost of Materials
LED POWER SUPPLY - 100W CONSTANT VOLTAGE NON-DIMMABLE (WATER PROOF) IP RATING: IP67,00-50002999,,No.,Inventory Item,Cost of Materials
LED POWER SUPPLY - 100W INDOOR,00-50003000,,No.,Inventory Item,Cost of Materials
LED PROFILE,00-50002880,,LM,Inventory Item,Cost of Materials
LED SMD STRIPLIGHT - IP65 - 3000K - CODE: LX-LLV-2035-120-HC (BRAND: LUMELUX) CRI>90 - 5 MTR,00-50003603,,Roll,Inventory Item,Cost of Materials
LED STRIP LIGHT - 3000K - 12W - WARM WHITE,00-50002761,,LM,Inventory Item,Cost of Materials
LED STRIP LIGHT - 3000K - 24W - WARM WHITE,00-50002653,,LM,Inventory Item,Cost of Materials
LED STRIP LIGHT - 4000K - 12V - 220W - NATURAL WHITE,00-50002621,,LM,Inventory Item,Cost of Materials
LED STRIP LIGHT - 4000K - 12V - NATURAL WHITE,00-50003362,,LM,Inventory Item,Cost of Materials
